id,first,second,third,fourth,fifth,Yellow
1,1,4,6,11,14,30
2,1,10,13,19,21,28
3,1,10,13,19,21,28
4,1,16,18,25,27,3
5,1,2,13,19,27,21
6,1,14,21,22,28,19
7,1,14,21,22,28,19
8,1,2,4,19,29,20
9,1,6,7,18,29,16
10,1,4,5,24,30,1
11,1,12,13,32,34,10
12,1,19,20,31,36,9
13,1,10,12,32,36,25
14,1,4,26,35,39,22
15,1,4,14,17,40,4
16,1,18,26,35,40,13
17,1,18,26,35,40,13
18,1,30,32,40,41,17
19,1,6,12,19,41,14
20,1,3,12,22,42,6
21,1,20,30,33,42,16
22,1,8,15,36,43,6
23,1,11,24,38,44,41
24,1,15,18,32,45,4
25,1,4,11,16,45,37
26,1,10,13,18,46,19
27,1,26,27,39,46,21
28,1,26,27,39,46,21
29,1,22,39,42,46,36
30,1,22,39,42,46,36
31,1,15,20,21,47,34
32,1,9,28,38,47,8
33,1,9,28,38,47,8
34,1,12,19,20,47,25
35,1,16,24,32,48,2
36,1,2,17,25,48,45
37,1,6,13,18,49,8
38,1,19,20,39,49,28
39,1,36,38,42,49,19
40,1,2,22,37,50,45
41,1,16,29,36,50,16
42,1,31,33,34,50,41
43,1,11,37,47,51,6
44,1,10,26,31,51,11
45,1,6,13,20,51,31
46,1,13,26,33,52,11
47,1,9,17,20,53,14
48,1,14,35,50,53,43
49,1,4,31,36,54,9
50,1,10,15,41,54,9
51,1,3,12,16,54,46
52,1,29,33,34,55,6
53,1,11,16,51,55,41
54,1,10,37,48,55,21
55,1,2,23,25,55,39
56,1,17,42,46,55,1
57,1,13,21,49,55,17
58,1,31,32,47,56,3
59,1,22,25,29,56,3
60,1,15,19,30,56,28
61,1,4,36,48,57,13
62,1,6,10,46,58,13
63,1,6,10,46,58,13
64,1,14,30,44,62,1
65,1,5,8,25,62,14
66,1,5,8,25,62,14
67,1,40,42,56,62,2
68,1,28,61,62,63,5
69,1,32,40,49,63,20
70,1,34,43,44,63,11
71,1,34,43,44,63,11
72,1,2,11,52,64,9
73,1,12,14,48,65,2
74,1,38,53,63,66,10
75,1,54,60,68,69,11
76,1,54,60,68,69,11
77,1,43,45,66,69,7
78,1,17,28,56,70,14
79,1,3,5,8,70,3
80,1,42,47,64,70,22
81,1,39,52,69,72,12
82,1,8,54,69,72,1
83,1,7,44,68,73,1
84,1,10,57,66,75,4
85,1,31,34,40,75,6
86,2,9,11,22,23,12
87,2,7,10,16,29,8
88,2,7,18,26,31,12
89,2,7,18,26,31,12
90,2,17,22,30,31,19
91,2,19,20,24,33,39
92,2,22,29,31,34,1
93,2,5,31,33,34,20
94,2,9,10,16,35,40
95,2,15,17,33,35,8
96,2,6,12,34,35,33
97,2,6,12,34,35,33
98,2,3,15,22,36,23
99,2,5,10,20,38,14
100,2,10,13,36,38,18
